Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1930-09-30
Station:        040809         Kazabazua - à 0,2 km en aval du pont du C.P. près de Kazabazua                                                                                 
Bassin versant: 275 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 56' 36" // -76° 3' 20"

Date de création du fichier: 2012-06-25 02:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
040809         1926/04/01          0.620          MC
040809         1926/04/02          0.620          MC
040809         1926/04/03          0.620          MC
040809         1926/04/04          0.680          MC
040809         1926/04/05          0.760          MC
040809         1926/04/06          0.880          MC
040809         1926/04/07          0.910          MC
040809         1926/04/08          0.960          MC
040809         1926/04/09          1.100          MC
040809         1926/04/10          1.100          MC
040809         1926/04/11          1.950          MC
040809         1926/04/12          1.950          MC
040809         1926/04/13          2.120          MC
040809         1926/04/14          2.490          MC
040809         1926/04/15          2.660          MC
040809         1926/04/16          2.720          MC
040809         1926/04/17          2.720          MC
040809         1926/04/18          2.660          MC
040809         1926/04/19          2.800          MC
040809         1926/04/20          2.830          MC
040809         1926/04/21          3.230          MC
040809         1926/04/22          4.190          MC
040809         1926/04/23          6.740          MC
040809         1926/04/24          7.840          MC
040809         1926/04/25          11.60          MC
040809         1926/04/26          23.20          MC
040809         1926/04/27          26.10          MC
040809         1926/04/28          23.20          MC
040809         1926/04/29          20.40          MC
040809         1926/04/30          17.70          MC
040809         1926/05/01          16.30          MC
040809         1926/05/02          15.00          MC
040809         1926/05/03          14.40          MC
040809         1926/05/04          14.90          MC
040809         1926/05/05          17.10          MC
040809         1926/05/06          15.60          MC
040809         1926/05/07          16.00          MC
040809         1926/05/08          11.00          MC
040809         1926/05/09          10.30          MC
040809         1926/05/10          9.260          MC
040809         1926/05/11          8.380          MC
040809         1926/05/12          7.390          MC
040809         1926/05/13          6.970          MC
040809         1926/05/14          7.080          MC
040809         1926/05/15          5.750          MC
040809         1926/05/16          5.240          MC
040809         1926/05/17          4.810          MC
040809         1926/05/18          4.330          MC
040809         1926/05/19          4.870          MC
040809         1926/05/20          3.940          MC
040809         1926/05/21          3.910          MC
040809         1926/05/22          3.770          MC
040809         1926/05/23          4.050          MC
040809         1926/05/24          5.410          MC
040809         1926/05/25          5.550          MC
040809         1926/05/26          5.410          MC
040809         1926/05/27          5.300          MC
040809         1926/05/28          4.620          MC
040809         1926/05/29          2.890          MC
040809         1926/05/30          2.830          MC
040809         1926/05/31          2.750          MC
040809         1926/06/01          3.230          MC
040809         1926/06/02          5.010          MC
040809         1926/06/03          4.900          MC
040809         1926/06/04          8.660          MC
040809         1926/06/05          2.610          MC
040809         1926/06/06          2.830          MC
040809         1926/06/07          3.110          MC
040809         1926/06/08          3.770          MC
040809         1926/06/09          4.190          MC
040809         1926/06/10          4.280          MC
040809         1926/06/11          4.390          MC
040809         1926/06/12          9.490          MC
040809         1926/06/13          7.450          MC
040809         1926/06/14          3.370          MC
040809         1926/06/15          2.010          MC
040809         1926/06/16          2.750          MC
040809         1926/06/17          2.210          MC
040809         1926/06/18          1.950          MC
040809         1926/06/19          2.040          MC
040809         1926/06/20          2.440          MC
040809         1926/06/21          2.580          MC
040809         1926/06/22          2.580          MC
040809         1926/06/23          2.210          MC
040809         1926/06/24          2.270          MC
040809         1926/06/25          2.010          MC
040809         1926/06/26          2.100          MC
040809         1926/06/27          1.930          MC
040809         1926/06/28          2.490          MC
040809         1926/06/29          3.990          MC
040809         1926/06/30          2.120          MC
040809         1926/07/01          2.180          MC
040809         1926/07/02          1.950          MC
040809         1926/07/03          1.390          MC
040809         1926/07/04          1.590          MC
040809         1926/07/05          1.420          MC
040809         1926/07/06          1.390          MC
040809         1926/07/07          0.880          MC
040809         1926/07/08          0.910          MC
040809         1926/07/09          1.390          MC
040809         1926/07/10          2.520          MC
040809         1926/07/11          5.440          MC
040809         1926/07/12          5.240          MC
040809         1926/07/13          4.530          MC
040809         1926/07/14          4.620          MC
040809         1926/07/15          4.080          MC
040809         1926/07/16          3.850          MC
040809         1926/07/17          3.430          MC
040809         1926/07/18          3.090          MC
040809         1926/07/19          2.270          MC
040809         1926/07/20          2.210          MC
040809         1926/07/21          1.500          MC
040809         1926/07/22          1.560          MC
040809         1926/07/23          1.390          MC
040809         1926/07/24          1.360          MC
040809         1926/07/25          1.390          MC
040809         1926/07/26          1.360          MC
040809         1926/07/27          1.020          MC
040809         1926/07/28          1.160          MC
040809         1926/07/29          0.960          MC
040809         1926/07/30          1.020          MC
040809         1926/07/31          1.390          MC
040809         1926/08/01          1.300          MC
040809         1926/08/02          1.160          MC
040809         1926/08/03          1.220          MC
040809         1926/08/04          1.590          MC
040809         1926/08/05          1.470          MC
040809         1926/08/06          1.390          MC
040809         1926/08/07          1.160          MC
040809         1926/08/08          1.220          MC
040809         1926/08/09          1.300          MC
040809         1926/08/10          1.220          MC
040809         1926/08/11          1.270          MC
040809         1926/08/12          1.190          MC
040809         1926/08/13          1.190          MC
040809         1926/08/14          1.160          MC
040809         1926/08/15          1.190          MC
040809         1926/08/16          1.160          MC
040809         1926/08/17          1.160          MC
040809         1926/08/18          0.960          MC
040809         1926/08/19          0.910          MC
040809         1926/08/20          0.710          MC
040809         1926/08/21          0.680          MC
040809         1926/08/22          0.710          MC
040809         1926/08/23          0.850          MC
040809         1926/08/24          1.220          MC
040809         1926/08/25          1.590          MC
040809         1926/08/26          1.930          MC
040809         1926/08/27          1.870          MC
040809         1926/08/28          1.610          MC
040809         1926/08/29          1.590          MC
040809         1926/08/30          1.590          MC
040809         1926/08/31          1.470          MC
040809         1926/09/01          0.760          MC
040809         1926/09/02          0.820          MC
040809         1926/09/03          0.960          MC
040809         1926/09/04          1.360          MC
040809         1926/09/05          0.760          MC
040809         1926/09/06          0.710          MC
040809         1926/09/07          0.760          MC
040809         1926/09/08          0.820          MC
040809         1926/09/09          0.760          MC
040809         1926/09/10          0.790          MC
040809         1926/09/11          1.360          MC
040809         1926/09/12          1.360          MC
040809         1926/09/13          1.300          MC
040809         1926/09/14          1.270          MC
040809         1926/09/15          1.420          MC
040809         1926/09/16          1.470          MC
040809         1926/09/17          5.950          MC
040809         1926/09/18          3.790          MC
040809         1926/09/19          3.940          MC
040809         1926/09/20          3.850          MC
040809         1926/09/21          3.790          MC
040809         1926/09/22          2.490          MC
040809         1926/09/23          2.290          MC
040809         1926/09/24          2.440          MC
040809         1926/09/25          2.210          MC
040809         1926/09/26          2.440          MC
040809         1926/09/27          2.380          MC
040809         1926/09/28          2.290          MC
040809         1926/09/29          2.380          MC
040809         1926/09/30          2.210          MC
040809         1926/10/01          2.040          MC
040809         1926/10/02          2.100          MC
040809         1926/10/03          2.010          MC
040809         1926/10/04          1.870          MC
040809         1926/10/05          1.870          MC
040809         1926/10/06          1.870          MC
040809         1926/10/07          1.950          MC
040809         1926/10/08          2.010          MC
040809         1926/10/09          1.930          MC
040809         1926/10/10          1.870          MC
040809         1926/10/11          1.930          MC
040809         1926/10/12          1.950          MC
040809         1926/10/13          2.100          MC
040809         1926/10/14          2.210          MC
040809         1926/10/15          2.180          MC
040809         1926/10/16          2.210          MC
040809         1926/10/17          2.100          MC
040809         1926/10/18          2.100          MC
040809         1926/10/19          2.270          MC
040809         1926/10/20          2.210          MC
040809         1926/10/21          2.120          MC
040809         1926/10/22          2.120          MC
040809         1926/10/23          1.950          MC
040809         1926/10/24          2.120          MC
040809         1926/10/25          2.750          MC
040809         1926/10/26          4.330          MC
040809         1926/10/27          4.670          MC
040809         1926/10/28          5.010          MC
040809         1926/10/29          4.760          MC
040809         1926/10/30          4.760          MC
040809         1926/10/31          4.670          MC
040809         1926/11/01          4.530          MC
040809         1926/11/02          4.390          MC
040809         1926/11/03          4.050          MC
040809         1926/11/04          4.050          MC
040809         1926/11/05          4.080          MC
040809         1926/11/06          3.770          MC
040809         1926/11/07          3.310          MC
040809         1926/11/08          6.540          MC
040809         1926/11/09          5.950          MC
040809         1926/11/10          5.350          MC
040809         1926/11/11          6.850          MC
040809         1926/11/12          5.490          MC
040809         1926/11/13          5.550          MC
040809         1926/11/14          5.800          MC
040809         1926/11/15          5.950          MC
040809         1926/11/16          6.970          MC
040809         1926/11/17          7.330          MC
040809         1926/11/18          7.820          MC
040809         1926/11/19          7.500          MC
040809         1926/11/20          8.330          MC
040809         1926/11/21          8.210          MC
040809         1926/11/22          8.100          MC
040809         1926/11/23          6.740          MC
040809         1926/11/24          6.850          MC
040809         1926/11/25          6.970          MC
040809         1926/11/26          6.680          MC
040809         1926/11/27          6.370          MC
040809         1926/11/28          8.720          MC
040809         1926/11/29          7.110          MC
040809         1926/11/30          6.260          MC
040809         1926/12/01          6.480          MC
040809         1926/12/02          5.860          MC
040809         1926/12/03          5.950          MC
040809         1926/12/04          4.700          MC
040809         1926/12/05          4.390          MC
040809         1926/12/06          
040809         1926/12/07          
040809         1926/12/08          
040809         1926/12/09          
040809         1926/12/10          
040809         1926/12/11          
040809         1926/12/12          
040809         1926/12/13          
040809         1926/12/14          
040809         1926/12/15          
040809         1926/12/16          
040809         1926/12/17          
040809         1926/12/18          
040809         1926/12/19          
040809         1926/12/20          
040809         1926/12/21          
040809         1926/12/22          
040809         1926/12/23          
040809         1926/12/24          
040809         1926/12/25          
040809         1926/12/26          
040809         1926/12/27          
040809         1926/12/28          
040809         1926/12/29          
040809         1926/12/30          
